GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
103091866	0.886676	6.81e-03	0.1926	2.70608	0.52129611	65.81	LINC01145	long intergenic non-protein coding RNA 1145
6222	0.899094	6.97e-03	0.097	-2.6982123	-0.26160521	11876.92	RPS18	ribosomal protein S18
57129	0.900487	7.08e-03	0.1814	-2.6932352	-0.48866353	843.46	MRPL47	mitochondrial ribosomal protein L47
107986458	0.900487	7.12e-03	0.378	2.6912879	1.01740641	19.96	LOC107986458	uncharacterized LOC107986458
23258	0.931833	7.44e-03	0.0933	2.676679	0.24983431	273.22	DENND5A	DENN domain containing 5A
51099	0.945002	7.90e-03	0.1499	-2.6562439	-0.3980703	206.84	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
521	0.945002	7.97e-03	0.1451	-2.6535106	-0.38489599	873.51	ATP5ME	ATP synthase membrane subunit e
7784	0.945002	7.86e-03	0.2373	2.6581523	0.63066019	88.3	ZP3	zona pellucida glycoprotein 3
9615	0.945002	8.28e-03	0.4562	2.6405583	1.20459231	30.24	GDA	guanine deaminase
1326	0.945002	7.98e-03	0.2198	2.6529054	0.58303904	392.03	MAP3K8	mitogen-activated protein kinase kinase kinase 8
100528017	0.945002	7.64e-03	0.6656	2.6674891	1.77538563	162.49	SAA2-SAA4	SAA2-SAA4 readthrough
102724532	0.945002	8.26e-03	0.2483	-2.6412625	-0.65588488	40.56	SP2-DT	SP2 divergent transcript
55969	0.945002	8.22e-03	0.1493	-2.6429635	-0.39448352	850.58	RAB5IF	RAB5 interacting factor
200315	0.945002	7.88e-03	0.1051	2.6572294	0.27932526	452.5	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
100874530	0.945002	8.32e-03	0.1035	2.6386704	0.27320722	425.22	APOBEC3B-AS1	APOBEC3B antisense RNA 1
1890	0.945002	8.25e-03	0.2939	2.6415794	0.7763056	51.35	TYMP	thymidine phosphorylase
57619	0.957185	8.50e-03	0.1746	2.6314338	0.45944659	618.7	SHROOM3	shroom family member 3
65108	0.962915	9.13e-03	0.2729	2.6070222	0.7115583	462.87	MARCKSL1	MARCKS like 1
2149	0.962915	8.84e-03	0.3888	2.6182758	1.01811522	112.54	F2R	coagulation factor II thrombin receptor
153769	0.962915	8.91e-03	0.2414	2.6153446	0.63123711	571.76	SH3RF2	SH3 domain containing ring finger 2
22838	0.962915	8.71e-03	0.2902	2.6232251	0.76126812	452.75	RNF44	ring finger protein 44
5982	0.962915	9.08e-03	0.0789	-2.6089778	-0.20592246	1014.97	RFC2	replication factor C subunit 2
51312	0.962915	8.66e-03	0.1854	2.625223	0.48684201	340.61	SLC25A37	solute carrier family 25 member 37
9314	0.962915	9.00e-03	0.1371	2.6121398	0.35823717	330.52	KLF4	KLF transcription factor 4
4572	0.962915	9.10e-03	0.3634	-2.6081747	-0.94791674	48.6	TRNQ	tRNA-Gln
23666	0.968256	9.26e-03	0.1479	-2.6024182	-0.3848621	110	UBBP4	ubiquitin B pseudogene 4
653635	0.999925	6.33e-01	0.2917	0.4779831	0.13942756	78.9	WASH7P	WASP family homolog 7, pseudogene
729737	0.999925	6.44e-01	0.6208	0.4618949	0.28673686	92.15	LOC729737	uncharacterized LOC729737
102723897	0.999925	3.87e-01	0.2851	0.8645674	0.24650008	112.71	WASH9P	WAS protein family homolog 9, pseudogene
100132287	0.999925	2.52e-01	0.3648	1.1466433	0.41833602	42.72	LOC100132287	uncharacterized LOC100132287
113219467	0.999925	5.67e-02	0.498	-1.9057246	-0.94898809	3850.74	MIR12136	microRNA 12136
100133331	0.999925	2.39e-01	0.3396	1.17711	0.39970812	47.76	LOC100133331	replaced by ID 100288069
107984847	0.999925	4.55e-01	0.4172	0.7477628	0.31200023	22.81	LOC107984847	replaced by ID 100288069
643837	0.999925	8.79e-01	0.2082	0.1517622	0.03159348	95.33	LINC01128	long intergenic non-protein coding RNA 1128
148398	0.999925	3.44e-02	0.352	-2.1152588	-0.74452016	72.54	SAMD11	sterile alpha motif domain containing 11
26155	0.999925	9.77e-01	0.2618	0.0283458	0.00742025	319.67	NOC2L	NOC2 like nucleolar associated transcriptional repressor
339451	0.999925	6.80e-01	0.3113	0.4124239	0.12838469	32.55	KLHL17	kelch like family member 17
84069	0.999925	4.50e-01	0.6125	0.7552792	0.46257492	58.03	PLEKHN1	pleckstrin homology domain containing N1
57801	0.999925	6.86e-01	0.3227	-0.4038542	-0.13031391	145.62	HES4	hes family bHLH transcription factor 4
9636	0.999925	8.14e-01	0.2888	-0.2350772	-0.06787889	189.71	ISG15	ISG15 ubiquitin like modifier
375790	0.999925	7.68e-01	0.332	0.2955509	0.09812019	1301.74	AGRN	agrin
401934	0.999925	3.38e-01	0.8664	-0.9577425	-0.82983003	37.16	RNF223	ring finger protein 223
54991	0.999925	6.72e-01	0.3733	0.4232474	0.1580089	76.47	C1orf159	chromosome 1 open reading frame 159
51150	0.999925	2.91e-01	0.2102	1.0556884	0.22192324	412.4	SDF4	stromal cell derived factor 4
126792	0.999925	6.89e-01	0.3096	0.40074	0.12406689	86.69	B3GALT6	beta-1,3-galactosyltransferase 6
118424	0.999925	8.75e-01	0.1717	0.1573746	0.02701939	535.86	UBE2J2	ubiquitin conjugating enzyme E2 J2
116983	0.999925	4.19e-01	0.6077	-0.8081572	-0.49109316	101.26	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
126789	0.999925	5.22e-01	0.3721	-0.6409784	-0.2385303	137.84	PUSL1	pseudouridine synthase like 1
54973	0.999925	7.64e-01	0.1959	0.3004744	0.05887132	634.92	INTS11	integrator complex subunit 11
80772	0.999925	8.46e-01	0.37	-0.1937564	-0.07169943	329.12	CPTP	ceramide-1-phosphate transfer protein
1855	0.999925	6.10e-01	0.2792	-0.5105895	-0.14254653	234.22	DVL1	dishevelled segment polarity protein 1
54998	0.999925	5.24e-01	0.272	-0.636916	-0.17323591	372.67	AURKAIP1	aurora kinase A interacting protein 1
81669	0.999925	6.05e-01	0.2788	-0.516707	-0.14405832	367.87	CCNL2	cyclin L2
148413	0.999925	1.88e-01	0.2047	-1.3150315	-0.26924416	67.99	MRPL20-AS1	MRPL20 antisense RNA 1
55052	0.999925	1.39e-01	0.1906	-1.4805692	-0.28224022	612.16	MRPL20	mitochondrial ribosomal protein L20
441869	0.999925	4.05e-01	0.4448	-0.8335581	-0.37077778	31.09	ANKRD65	ankyrin repeat domain 65
105378585	0.999925	4.81e-01	0.3147	0.7043649	0.22166918	26.63	ANKRD65-AS1	ANKRD65 antisense RNA 1
64856	0.999925	7.16e-01	0.7624	0.3640695	0.2775785	154.37	VWA1	von Willebrand factor A domain containing 1
83858	0.999925	5.19e-01	0.3656	-0.6442405	-0.23550898	39.38	ATAD3B	ATPase family AAA domain containing 3B
55210	0.999925	3.39e-01	0.2207	-0.9559838	-0.21100661	115.75	ATAD3A	ATPase family AAA domain containing 3A
29101	0.999925	5.75e-01	0.0946	0.5613692	0.05308969	2611.64	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
142678	0.999925	7.02e-01	0.3554	0.3825322	0.13594949	328.56	MIB2	MIB E3 ubiquitin protein ligase 2
984	0.999925	8.74e-01	0.1646	-0.1588847	-0.02615308	327.94	CDK11B	cyclin dependent kinase 11B
728661	0.999925	7.07e-01	0.3151	0.3759779	0.11848166	337.33	SLC35E2B	solute carrier family 35 member E2B
728642	0.999925	9.10e-01	0.2128	-0.1128075	-0.02400708	201.12	CDK11A	cyclin dependent kinase 11A
9906	0.999925	8.58e-01	0.1872	-0.1791582	-0.03354629	406.47	SLC35E2A	solute carrier family 35 member E2A
112268218	0.999925	6.16e-01	0.3362	0.5010187	0.16843011	33.77	LOC112268218	uncharacterized LOC112268218
65220	0.999925	6.43e-01	0.2907	0.4631259	0.13460833	617.04	NADK	NAD kinase
2782	0.999925	4.28e-01	0.2329	0.7927977	0.18463529	4834	GNB1	G protein subunit beta 1
5590	0.999925	7.34e-01	0.3876	0.3402377	0.13189186	266.32	PRKCZ	protein kinase C zeta
199990	0.999925	4.52e-01	0.3295	0.7512572	0.24751705	295.9	FAAP20	FA core complex associated protein 20
6497	0.999925	1.71e-01	0.186	1.3680562	0.25439398	652.66	SKI	SKI proto-oncogene
79906	0.999925	8.12e-01	0.3695	-0.2374488	-0.08774472	29.2	MORN1	MORN repeat containing 1
100129534	0.999925	8.11e-01	0.5587	0.2396682	0.13390645	22.71	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene
11079	0.999925	6.35e-01	0.0862	-0.4745341	-0.04092354	1102.07	RER1	retention in endoplasmic reticulum sorting receptor 1
5192	0.999925	3.38e-01	0.2346	0.9571604	0.2245768	231.16	PEX10	peroxisomal biogenesis factor 10
9651	0.999925	5.62e-01	1.4366	-0.5792855	-0.83218151	36.68	PLCH2	phospholipase C eta 2
55229	0.999925	1.39e-01	0.1934	1.4811582	0.28638434	82.1	PANK4	pantothenate kinase 4 (inactive)
388585	0.999925	6.15e-01	1.9206	-0.5024035	-0.96491518	22.55	HES5	hes family bHLH transcription factor 5
8764	0.999925	7.27e-01	0.5536	0.3485917	0.19297416	38.83	TNFRSF14	TNF receptor superfamily member 14
127281	0.999925	7.99e-01	0.5544	0.2541024	0.14086677	90.89	PRXL2B	peroxiredoxin like 2B
27237	0.999925	4.81e-01	0.3603	0.7041198	0.2536815	310.38	ARHGEF16	Rho guanine nucleotide exchange factor 16
1953	0.999925	6.40e-01	0.6855	-0.4677479	-0.32063079	24.86	MEGF6	multiple EGF like domains 6
127262	0.999925	4.95e-01	0.3589	-0.6816987	-0.24466186	938.16	TPRG1L	tumor protein p63 regulated 1 like
49856	0.999925	4.54e-01	0.2102	-0.7488127	-0.15740338	159.96	WRAP73	WD repeat containing, antisense to TP73
7161	0.999925	5.16e-01	0.5332	0.6491193	0.34611955	278.52	TP73	tumor protein p73
57212	0.999925	9.34e-01	0.4204	0.0828511	0.03483024	35.37	TP73-AS1	TP73 antisense RNA 1
57470	0.999925	9.81e-01	0.227	0.0243872	0.00553578	480.05	LRRC47	leucine rich repeat containing 47
9731	0.999925	8.08e-01	0.1015	0.2425103	0.02461901	300.63	CEP104	centrosomal protein 104
1677	0.999925	3.04e-01	0.3	1.0278579	0.30835197	37.06	DFFB	DNA fragmentation factor subunit beta
339448	0.999925	9.94e-01	0.2302	-0.0069877	-0.00160828	328.1	C1orf174	chromosome 1 open reading frame 174
55966	0.999925	6.73e-01	1.9626	0.4223302	0.82884524	37.58	AJAP1	adherens junctions associated protein 1
261734	0.999925	3.68e-01	0.2313	0.899315	0.20800553	131.4	NPHP4	nephrocystin 4
8514	0.999925	6.82e-01	0.6367	0.409143	0.26051762	103.4	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
6146	0.999925	1.73e-01	0.1868	-1.3634809	-0.25464615	3833.19	RPL22	ribosomal protein L22
388591	0.999925	2.23e-01	0.2832	1.2196015	0.34535842	89.12	RNF207	ring finger protein 207
23463	0.999925	4.71e-01	0.1848	-0.7207898	-0.13321863	1471	ICMT	isoprenylcysteine carboxyl methyltransferase
387509	0.999925	4.26e-01	0.4142	-0.7965508	-0.32993118	122.14	GPR153	G protein-coupled receptor 153
11332	0.999925	3.28e-01	0.2284	0.9784437	0.22345468	1413.45	ACOT7	acyl-CoA thioesterase 7
54626	0.999925	6.13e-01	0.3872	-0.5055134	-0.19573875	247.74	HES2	hes family bHLH transcription factor 2
83715	0.999925	4.57e-01	0.7494	-0.7443663	-0.55780035	206.4	ESPN	espin
8718	0.999925	3.39e-01	0.6389	-0.9558437	-0.61067579	28.24	TNFRSF25	TNF receptor superfamily member 25
57449	0.999925	5.53e-01	0.6545	-0.5926765	-0.38791839	151.93	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
79707	0.999925	7.78e-01	0.1416	0.2813137	0.0398275	730.31	NOL9	nucleolar protein 9
3104	0.999925	6.41e-01	0.2462	0.4666941	0.11490294	87.91	ZBTB48	zinc finger and BTB domain containing 48
9903	0.999925	2.62e-01	0.1959	1.1208931	0.21959161	218.44	KLHL21	kelch like family member 21
148479	0.999925	3.23e-01	0.2193	0.9879996	0.21664294	258.57	PHF13	PHD finger protein 13
90326	0.999925	7.77e-01	0.2217	0.2826868	0.06268126	186.47	THAP3	THAP domain containing 3
55735	0.999925	4.19e-01	0.1622	0.8075829	0.13098334	269.63	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
23261	0.999925	5.71e-01	0.3734	-0.5666214	-0.21157729	459.78	CAMTA1	calmodulin binding transcription activator 1
9341	0.999925	5.62e-01	0.1763	0.5795285	0.10215775	2247.32	VAMP3	vesicle associated membrane protein 3
8863	0.999925	9.25e-01	0.4264	-0.0938886	-0.04003603	634.78	PER3	period circadian regulator 3
11315	0.999925	2.76e-01	0.2645	-1.0895488	-0.28814414	1166.82	PARK7	Parkinsonism associated deglycase
54206	0.999925	7.55e-01	0.7198	-0.3115195	-0.22424699	1094.79	ERRFI1	ERBB receptor feedback inhibitor 1
473	0.999925	4.24e-02	0.2237	2.0293943	0.4540035	957.95	RERE	arginine-glutamic acid dipeptide repeats
2023	0.999925	6.78e-01	0.3657	0.4145628	0.15162419	28712.49	ENO1	enolase 1
80045	0.999925	5.04e-01	0.4959	-0.6686646	-0.33159295	198.21	GPR157	G protein-coupled receptor 157
106614088	0.999925	4.95e-01	1.0408	0.6817099	0.70949576	20.47	MIR34AHG	MIR34A host gene
102724571	0.999925	9.42e-01	1.3551	-0.0732057	-0.0991982	17.86	LNCTAM34A	long non coding transcriptional activator of miR34a
9563	0.999925	4.36e-01	0.4087	0.7790353	0.31837211	877.37	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176	0.999925	2.12e-01	0.4158	-1.246855	-0.518428	398.81	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
84275	0.999925	4.83e-01	0.5881	-0.701164	-0.41232821	82.64	SLC25A33	solute carrier family 25 member 33
199953	0.999925	5.79e-02	0.3672	1.8965279	0.69648351	186.8	TMEM201	transmembrane protein 201
5293	0.999925	9.45e-01	0.3488	-0.0687747	-0.02399048	113.07	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
22883	0.999925	1.37e-01	0.2203	1.4860005	0.32742283	2635.36	CLSTN1	calsyntenin 1
56998	0.999925	4.45e-01	0.3006	0.7638218	0.22960604	476.1	CTNNBIP1	catenin beta interacting protein 1
84328	0.999925	5.39e-01	0.2803	-0.6147833	-0.17230391	391.14	LZIC	leucine zipper and CTNNBIP1 domain containing
64802	0.999925	7.42e-01	0.3062	-0.3287631	-0.10067442	118.75	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
10277	0.999925	5.98e-01	0.1498	0.5267753	0.07892813	1042.68	UBE4B	ubiquitination factor E4B
23095	0.999925	1.29e-01	0.0961	-1.5161247	-0.14572056	801.92	KIF1B	kinesin family member 1B
5226	0.999925	8.51e-01	0.1057	-0.1872904	-0.01979003	2354.21	PGD	phosphogluconate dehydrogenase
100526739	0.999925	3.94e-01	0.187	-0.851886	-0.15928092	135.42	CENPS-CORT	CENPS-CORT readthrough
378708	0.999925	3.20e-01	0.2311	-0.9935417	-0.2295778	150.19	CENPS	centromere protein S
1676	0.999925	6.13e-01	0.1471	0.5063285	0.07448375	564.48	DFFA	DNA fragmentation factor subunit alpha
5195	0.999925	1.09e-01	0.3146	1.604895	0.50489136	204.53	PEX14	peroxisomal biogenesis factor 14
54897	0.999925	6.92e-01	0.3415	-0.3955567	-0.13507994	327.93	CASZ1	castor zinc finger 1
23435	0.999925	7.52e-02	0.1457	-1.779227	-0.25928528	763.78	TARDBP	TAR DNA binding protein
6723	0.999925	5.58e-01	0.3678	0.5859959	0.21552942	1113.11	SRM	spermidine synthase
5394	0.999925	5.40e-01	0.1133	-0.6122302	-0.06936263	1541.34	EXOSC10	exosome component 10
105376736	0.999925	1.86e-01	0.3897	-1.321995	-0.51521474	19.11	EXOSC10-AS1	EXOSC10 antisense RNA 1
2475	0.999925	8.60e-01	0.1952	-0.1763315	-0.03442134	846.83	MTOR	mechanistic target of rapamycin kinase
29914	0.999925	2.10e-01	0.2653	1.2539755	0.33266155	181.01	UBIAD1	UbiA prenyltransferase domain containing 1
